depid,script,deployid,recordtype,isdeployed,status
1435,1217,customdeploy_fam_ue_process,CUSTOMRECORD_FAM_PROCESS,T,RELEASED
1436,1218,customdeploy_fam_custjournal_ue_depr,CUSTOMTRANSACTION_FAM_DEPR_JRN,T,RELEASED
1439,1218,customdeploy_fam_custjournal_ue_tran,CUSTOMTRANSACTION_FAM_TRANSFER_JRN,T,RELEASED
1438,1218,customdeploy_fam_custjournal_ue_rev,CUSTOMTRANSACTION_FAM_REVALUATION_JRN,T,RELEASED
1437,1218,customdeploy_fam_custjournal_ue_disp,CUSTOMTRANSACTION_FAM_DISP_JRN,T,RELEASED
1440,1219,customdeploy_fam_assetproposal_ue,CUSTOMRECORD_NCFAR_ASSETPROPOSAL,T,RELEASED
1441,1220,customdeploy_fam_ue_leaseproposal,CUSTOMTRANSACTION_FAM_LEASEPROPOSAL,T,RELEASED
1442,1221,customdeploy_fam_ue_system_setup,CUSTOMRECORD_NCFAR_SYSTEMSETUP,T,RELEASED
1443,1222,customdeploy_fam_ue_asset,CUSTOMRECORD_NCFAR_ASSET,T,RELEASED
1444,1223,customdeploy_fam_ue_leasepayment,CUSTOMRECORD_FAM_LEASEPAYMENTS,T,RELEASED
1445,1224,customdeploy_fam_tranfieldmap_ue,CUSTOMRECORD_FAM_TPAF_MAPPING,T,RELEASED
1446,1225,customdeploy_fam_ue_deprmethod,CUSTOMRECORD_NCFAR_DEPRMETHOD,T,RELEASED
1447,1226,customdeploy_fam_ue_leasecontract,CUSTOMRECORD_FAM_LEASECONTRACT,T,RELEASED
1448,1227,customdeploy_fam_propaltdepreciation_ue,CUSTOMRECORD_NCFAR_ALTDEPR_PROPOSAL,T,RELEASED
1449,1228,customdeploy_fam_deprhistory_ue,CUSTOMRECORD_NCFAR_DEPRHISTORY,T,RELEASED
1450,1229,customdeploy_fam_assettype_ue,CUSTOMRECORD_NCFAR_ASSETTYPE,T,RELEASED
1451,1230,customdeploy_fam_ue_asset_val,CUSTOMRECORD_FAM_ASSETVALUES,T,RELEASED
4252,1231,customdeploy_fam_project_ue,JOB,T,RELEASED
1453,1232,customdeploy_fam_ue_bgprocess,CUSTOMRECORD_BG_PROCINSTANCE,T,RELEASED
1454,1233,customdeploy_fam_bgsummary_ue,CUSTOMRECORD_BG_SUMMARYRECORD,T,RELEASED
1455,1234,customdeploy_fam_reporttemplatecolumn_su,,T,RELEASED
1456,1235,customdeploy_fam_recognizeleaseint_su,,T,RELEASED
1457,1236,customdeploy_fam_generatereport_su,,T,RELEASED
1458,1237,customdeploy_fam_review_orphaneddhrs_su,,T,RELEASED
1459,1238,customdeploy_fam_leasemodification_su,,T,RELEASED
1460,1239,customdeploy_fam_diagnosisscan_su,,T,RELEASED
1461,1240,customdeploy_fam_serverapi_su,,T,RELEASED
1462,1241,customdeploy_fam_manageassetproposal_su,,T,RELEASED
1463,1242,customdeploy_fam_reportshistory_su,,T,RELEASED
1464,1243,customdeploy_fam_assettransfer_su,,T,RELEASED
1465,1244,customdeploy_fam_triggerprocredirect_su,,T,RELEASED
1466,1245,customdeploy_fam_assetrevaluation_su,,T,RELEASED
1467,1246,customdeploy_fam_specialdepr_su,,T,RELEASED
1468,1247,customdeploy_fam_su_assetsplit,,T,RELEASED
1469,1248,customdeploy_fam_compound_asset_su,,T,RELEASED
1470,1249,customdeploy_fam_reviewassets_novals_su,,T,RELEASED
1471,1250,customdeploy_fam_systemsetup_su,,T,RELEASED
1472,1251,customdeploy_fam_showdeprhistory_su,,T,RELEASED
1473,1252,customdeploy_fam_deleteasset_su,,T,RELEASED
1474,1253,customdeploy_fam_reviewderogatorydhr_su,,T,RELEASED
1475,1254,customdeploy_fam_gensched_su,,T,RELEASED
1476,1255,customdeploy_fam_assetdepreciation_su,,T,RELEASED
1477,1256,customdeploy_fam_su_proposalsplit,,T,RELEASED
1478,1257,customdeploy_fam_reportdlopts_su,,T,RELEASED
1479,1258,customdeploy_fam_fprstatus_su,,T,RELEASED
1480,1259,customdeploy_fam_su_importcsv,,T,RELEASED
1481,1260,customdeploy_fam_fprerrors_su,,T,RELEASED
1482,1261,customdeploy_fam_reporttemplate_su,,T,RELEASED
1483,1262,customdeploy_fam_triggerprocess_su,,T,RELEASED
